senderUpi,receiverUpi,amount,timestamp,description,merchantName,city
user1@upi,merchant@upi,5000,2025-12-05T10:30:00Z,Online purchase,Amazon,Delhi
user2@upi,unknown@upi,50000,2025-12-05T10:35:00Z,Refund verification,Support Team,Mumbai
user3@upi,delivery@upi,299,2025-12-05T10:40:00Z,Delivery payment,Flipkart,Bangalore
user4@upi,scammer@upi,25000,2025-12-05T10:45:00Z,Urgent cash need,Emergency,Pune
user5@upi,bank@upi,100,2025-12-05T10:50:00Z,Verification payment,RBI Verification,Hyderabad
user6@upi,seller@upi,12000,2025-12-05T10:55:00Z,Property booking,Real Estate,Chennai
user7@upi,rent@upi,15000,2025-12-05T11:00:00Z,Rent payment,Landlord,Kolkata
user8@upi,job@upi,5000,2025-12-05T11:05:00Z,Training fee,Online Jobs,Pune
user9@upi,normal@upi,2500,2025-12-05T11:10:00Z,Coffee shop,Local Cafe,Delhi
user10@upi,fraud@upi,100000,2025-12-05T11:15:00Z,Investment opportunity,Crypto,Mumbai
